data,trip_creation_time,route_schedule_uuid,route_type,trip_uuid,source_center,source_name,destination_center,destination_name,od_start_time,od_end_time,start_scan_to_end_scan,is_cutoff,cutoff_factor,cutoff_timestamp,actual_distance_to_destination,actual_time,osrm_time,osrm_distance,factor,segment_actual_time,segment_osrm_time,segment_osrm_distance,segment_factor
training,2018-09-12 01:33:48.711350,thanos::sroute:5f7d8d49-ae14-430e-9333-37361e1e9457,Carting,trip-153671602871109556,IND362001AAA,Junagadh_DPC (Gujarat),IND362220AAA,Junagadh_keshod_DC (Gujarat),2018-09-12 01:33:48.711350,2018-09-12 02:42:24.563892,68.0,False,28,2018-09-12 01:51:56,28.34066093997309,43.0,22.0,31.1283,1.9545454545454544,2.0,0.0,1.2782,-1.0
training,2018-09-12 01:33:48.711350,thanos::sroute:5f7d8d49-ae14-430e-9333-37361e1e9457,Carting,trip-153671602871109556,IND362720AAA,Kodinar_NCplxDPP_D (Gujarat),IND362560AAA,Una_Mamlatdr_DC (Gujarat),2018-09-12 06:12:09.579013,2018-09-12 07:19:24.177399,67.0,False,37,,37.24074080908733,59.0,28.0,39.5496,2.107142857142857,0.0,0.0,0.0,-1.0
test,2018-09-28 21:11:40.693356,thanos::sroute:c736b86f-5c1d-4497-832c-876db4c1a518,Carting,trip-153816910069311424,IND122004AAA,Gurgaon_Begumpur_CP (Haryana),IND122413AAE,Gurgaon_Bilaspur_P (Haryana),2018-09-28 21:11:40.693356,2018-09-28 23:03:42.274206,112.0,False,29,2018-09-28 21:50:22,29.44027723941914,58.0,33.0,34.7591,1.7575757575757576,2.0,0.0,0.5277000000000001,-1.0
training,2018-09-15 23:58:16.827101,thanos::sroute:fb308c0f-ea3a-48ef-a6c3-47763412a90f,FTL,trip-153705589682687518,IND206001AAA,Etawah_MhraChng_D (Uttar Pradesh),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),2018-09-17 02:46:57.274441,2018-09-17 11:07:58.603033,501.0,False,265,2018-09-17 03:14:27,265.78445402360046,458.0,232.0,309.4877,1.9741379310344829,0.0,0.0,0.0,-1.0
training,2018-09-24 18:26:04.013564,thanos::sroute:ae1fbe0b-7154-48ad-99d0-23c942990310,Carting,trip-153781356401330282,IND560048AAB,Bengaluru_Hoodi_IP (Karnataka),IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),2018-09-24 18:26:04.013564,2018-09-24 19:29:41.670793,63.0,False,18,2018-09-24 18:35:20,18.41293062300833,52.0,35.0,26.6377,1.4857142857142858,0.0,0.0,0.0,-1.0
training,2018-09-20 17:56:04.955273,thanos::sroute:e807a3e4-2298-4b5a-99f4-4e42ae62a173,FTL,trip-153746616495500586,IND127201AAA,Loharu_BstndDPP_D (Haryana),IND124141AAA,ChrkhiDdri_PuranDPP_D (Haryana),2018-09-21 02:11:02.446673,2018-09-21 03:39:29.925024,88.0,False,45,2018-09-21 02:17:29,45.75209360198976,79.0,34.0,48.4122,2.323529411764706,1.0,0.0,1.1662,-1.0
training,2018-09-14 03:34:09.752796,thanos::sroute:884f7550-53c2-48f7-a639-91e5b5d3a831,Carting,trip-153689604975253520,IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),IND560058AAB,Bengaluru_Peenya_IP (Karnataka),2018-09-14 03:34:09.752796,2018-09-14 05:32:02.904783,117.0,False,28,2018-09-14 04:33:27,28.449860938114,55.0,34.0,31.385900000000003,1.6176470588235294,0.0,0.0,0.0,-1.0
test,2018-10-03 23:24:57.864330,thanos::sroute:e7281daf-3cdf-4dc6-be95-95266c9dab67,FTL,trip-153860909786408355,IND384205AAA,Mehsana_Panchot_IP (Gujarat),IND384170AAA,Unjha_DC (Gujarat),2018-10-03 23:24:57.864330,2018-10-04 00:21:58.203266,57.0,False,22,,22.989320818349128,50.0,28.0,28.2656,1.7857142857142858,0.0,0.0,0.0,-1.0
test,2018-09-27 18:57:07.817933,thanos::sroute:69a1fd98-6014-465b-ab22-872aac85e271,Carting,trip-153807462781768214,IND683511AAA,Aluva_Peedika_H (Kerala),IND000000ABA,Cochin_Chtrpuza_D (Kerala),2018-09-27 18:57:07.817933,2018-09-28 01:58:27.481295,421.0,False,19,2018-09-28 01:08:35,19.0220389148261,36.0,28.0,24.6111,1.2857142857142858,0.0,0.0,0.4861,-1.0
training,2018-09-24 02:57:00.372087,thanos::sroute:8f136f2a-7552-4c91-acfa-ff555d177121,FTL,trip-153775782037183132,IND413002AAA,Solapur_Central_I_2 (Maharashtra),IND501359AAE,Hyderabad_Shamshbd_H (Telangana),2018-09-24 12:46:04.801166,2018-09-24 23:35:24.329421,649.0,False,265,2018-09-24 13:16:02,265.0228874276913,404.0,269.0,349.82370000000003,1.5018587360594795,2.0,0.0,0.428,-1.0
